Date,Ticker,Category,Name,Open,High,Low,Close,VWAP,Volume,Delivery %,Current Day Volatility,Annualized Volatility,Adjusted PE
2026-01-09,20MICRONS, EQ,,200.0,201.98,194.3,195.72,198.23,109967, 38.55,0.0288,0.5502,11.32
2026-01-09,21STCENMGM, EQ,,47.37,48.29,46.43,46.43,46.66,613, 83.69,0.0174,0.3324,
2026-01-09,360ONE, EQ,,1180.0,1184.4,1130.0,1140.9,1141.94,1067665, 57.32,0.0222,0.4241,45.39
2026-01-09,3IINFOLTD, EQ,,16.2,16.35,15.3,15.38,15.54,1709248, 72.66,0.0267,0.5101,4.75
2026-01-09,3MINDIA, EQ,,34250.0,35215.0,34000.0,34135.0,34412.32,6219, 37.82,0.0175,0.3343,79.01
2026-01-09,3PLAND, EQ,,36.05,37.5,36.05,36.37,37.12,2395, 83.51,0.0290,0.5540,31.69
2026-01-09,5PAISA, EQ,,376.9,381.65,355.65,359.3,370.04,140426, 27.09,0.0245,0.4681,19.56
2026-01-09,63MOONS, EQ,,679.65,681.8,650.3,653.55,665.27,94220, 49.40,0.0313,0.5980,
2026-01-09,A2ZINFRA, EQ,,14.86,15.02,14.72,14.81,14.83,81885, 79.28,0.0317,0.6056,63.62
2026-01-09,AADHARHFC, EQ,,488.3,492.5,475.2,475.95,479.22,256018, 63.25,0.0172,0.3286,22.31
2026-01-09,AAKASH, EQ,,8.41,8.69,8.21,8.48,8.48,59347, 60.23,0.0267,0.5101,74.02
2026-01-09,AAREYDRUGS, EQ,,65.51,71.0,65.51,69.37,69.43,289978, 32.03,0.0278,0.5311,46.29
2026-01-09,AARON, EQ,,170.0,170.0,163.98,164.7,165.71,10729, 70.21,0.0292,0.5579,47.57
2026-01-09,AARTECH, EQ,,54.87,55.17,51.97,52.99,53.9,41468, 46.77,0.0288,0.5502,74.66
2026-01-09,AARTIDRUGS, EQ,,392.8,392.85,382.6,384.75,387.51,86759, 45.85,0.0242,0.4623,18.99
2026-01-09,AARTIIND, EQ,,367.45,369.0,360.65,361.65,364.99,424559, 39.74,0.0198,0.3783,57.06
2026-01-09,AARTIPHARM, EQ,,736.2,775.0,736.2,761.75,760.07,1463398, 12.73,0.0271,0.5177,24.68
2026-01-09,AARTISURF, EQ,,370.05,377.0,362.15,364.4,368.99,12308, 81.70,0.0229,0.4375,29.98
2026-01-09,AARVI, EQ,,134.0,134.99,130.9,133.47,133.25,25760, 54.05,0.0281,0.5368,17.34
2026-01-09,AAVAS, EQ,,1460.1,1462.1,1423.5,1449.4,1444.8,142999, 59.95,0.0186,0.3554,19.68
2026-01-09,ABB, EQ,,5050.0,5138.0,4983.5,5093.0,5080.55,329338, 34.36,0.0179,0.3420,59.16
2026-01-09,ABBOTINDIA, EQ,,28200.0,28395.0,27785.0,28095.0,27945.01,11568, 73.64,0.0137,0.2617,
2026-01-09,ABCAPITAL, EQ,,357.0,363.3,351.45,353.85,357.32,3959855, 40.62,0.0197,0.3764,30.94
2026-01-09,ABCOTS, EQ,,411.2,412.1,405.85,409.35,408.95,9840, 22.58,0.0129,0.2465,
2026-01-09,ABDL, EQ,,515.2,519.85,497.55,501.75,507.47,568143, 48.35,0.0225,0.4299,60.17
