Issuer Company	Symbol	Security Code	Bonus record Date	Ex Date	Bonus Ratio	CMP
A-1 Ltd	A1L	542012	31-Dec-25	31-Dec-25	03:01	9.66
Ram Ratna Wires Ltd	RAMRAT	522281	26-Dec-25	26-Dec-25	01:01	470.4
GRM Overseas Ltd	GRMOVER	531449	24-Dec-25	24-Dec-25	02:01	156.65
Unifinz Capital India Ltd	UCIL	541358	19-Dec-25	19-Dec-25	04:01	95
Dr  Lal PathLabs Ltd	LALPATHLAB	539524	19-Dec-25	19-Dec-25	01:01	"1,617.40"
Sylph Technologies Ltd	SYLPH	511447	17-Dec-25	17-Dec-25	05:11	0.33
Moneyboxx Finance Ltd	MONEYBOXX	538446	15-Dec-25	15-Dec-25	01:01	72.67
Bharat Rasayan Ltd	BHARATRAS	590021	12-Dec-25	12-Dec-25	01:01	"1,437.10"
Apis India Ltd	APIS	506166	05-Dec-25	05-Dec-25	24:01:00	60.82
Thyrocare Technologies Ltd	THYROCARE	539871	28-Nov-25	28-Nov-25	02:01	493.45
HDFC Asset Management Company Ltd	HDFCAMC	541729	26-Nov-25	26-Nov-25	01:01	"2,758.55"
Motherson Sumi Wiring India Limited	MSUMI	MSUMI	18-Jul-25	18-Jul-25	01:02	39.32
IFGL Refractories Ltd	IFGLEXPOR	540774	18-Jul-25	18-Jul-25	01:01	176.85
Samvardhana Motherson International Limited	MOTHERSON	MOTHERSON	18-Jul-25	18-Jul-25	01:02	135.91
Dynamic Cables Ltd	DYCL	540795	11-Jul-25	11-Jul-25	01:01	322.95
Alkosign Ltd	ALKOSIGN	543453	11-Jul-25	11-Jul-25	01:02	56.75
Roto Pumps Ltd	ROTO	517500	11-Jul-25	11-Jul-25	02:01	57.52
Meghna Infracon Infrastructure Ltd	MIIL	538668	08-Jul-25	08-Jul-25	01:01	779.9
Sharda Motor Industries Limited	SHARDAMOTR	SHARDAMOTR	04-Jul-25	04-Jul-25	01:01	844.8
Iris Clothings Limited	IRISDOREME	IRISDOREME	04-Jul-25	04-Jul-25	01:01	35.6
Container Corporation of India Limited	CONCOR	CONCOR	04-Jul-25	04-Jul-25	01:04	512.05
Investment & Precision Castings Ltd	INVPRECQ	504786	27-Jun-25	27-Jun-25	01:01	627
