"Exchange,Date,StartTime,EndTime,DayState"
"NSE,,0915,1530,STD"
"BSE,,0915,1530,STD"
"CDS,,0900,1700,STD"
"MCX,,0900,1130,STD"
"NSE,20200121,,,OFF"
"NSE,20200110,,,OFF"
"NSE,20200102,,,OFF"
"NSE,20200106,,,OFF"
"NSE,20200110,,,OFF"
"NSE,20200114,,,OFF"
"NSE,20200101,,,OFF"
"NSE,20200125,,,OFF"
"NSE,20200102,,,OFF"
"NSE,20200116,,,OFF"
"NSE,20200130,,,OFF"
"NSE,20200125,,,OFF"
"BSE,20200121,,,OFF"
"BSE,20200110,,,OFF"
"BSE,20200102,,,OFF"
"BSE,20200106,,,OFF"
"BSE,20200110,,,OFF"
"BSE,20200114,,,OFF"
"BSE,20200101,,,OFF"
"BSE,20200125,,,OFF"
"BSE,20200102,,,OFF"
"BSE,20200116,,,OFF"
"BSE,20200130,,,OFF"
"BSE,20200125,,,OFF"
"CDS,20200121,,,OFF"
"CDS,20200110,,,OFF"
"CDS,20200102,,,OFF"
"CDS,20200106,,,OFF"
"CDS,20200110,,,OFF"
"CDS,20200114,,,OFF"
"CDS,20200101,,,OFF"
"CDS,20200125,,,OFF"
"CDS,20200102,,,OFF"
"CDS,20200116,,,OFF"
"CDS,20200130,,,OFF"
"CDS,20200125,,,OFF"
"MCX,20200101,,,OFF"
"MCX,20200121,,,OFF"
"MCX,20200110,,,OFF"
"MCX,20200102,,,OFF"
"MCX,20200106,,,OFF"
"MCX,20200110,,,OFF"
"MCX,20200114,,,OFF"
"MCX,20200101,,,OFF"
"MCX,20200125,,,OFF"
"MCX,20200102,,,OFF"
"MCX,20200116,,,OFF"
"MCX,20200130,,,OFF"
"MCX,20200125,,,OFF"
"MCX,20200101,0900,1700,ON"
"MCX,20200121,1700,2330,ON"
"MCX,20200110,1700,2330,ON"
"MCX,20200101,1700,2330,ON"
"MCX,20200125,1700,2330,ON"
"MCX,20200116,1700,2330,ON"
"MCX,20200130,1700,2330,ON"
"NSE,20210126,,,OFF"
"NSE,20210111,,,OFF"
"NSE,20210129,,,OFF"
"NSE,20210102,,,OFF"
"NSE,20210114,,,OFF"
"NSE,20210121,,,OFF"
"NSE,20210113,,,OFF"
"NSE,20210121,,,OFF"
"NSE,20210119,,,OFF"
"NSE,20210110,,,OFF"
"NSE,20210115,,,OFF"
"NSE,20210104,,,OFF"
"NSE,20210105,,,OFF"
"NSE,20210119,,,OFF"
"BSE,20210126,,,OFF"
"BSE,20210111,,,OFF"
"BSE,20210129,,,OFF"
"BSE,20210102,,,OFF"
"BSE,20210114,,,OFF"
"BSE,20210121,,,OFF"
"BSE,20210113,,,OFF"
"BSE,20210121,,,OFF"
"BSE,20210119,,,OFF"
"BSE,20210110,,,OFF"
"BSE,20210115,,,OFF"
"BSE,20210104,,,OFF"
"BSE,20210105,,,OFF"
"BSE,20210119,,,OFF"
"CDS,20210126,,,OFF"
"CDS,20210119,,,OFF"
"CDS,20210111,,,OFF"
"CDS,20210129,,,OFF"
"CDS,20210101,,,OFF"
"CDS,20210102,,,OFF"
"CDS,20210113,,,OFF"
"CDS,20210114,,,OFF"
"CDS,20210121,,,OFF"
