Issuer Company	Symbol	Security Code	Stock Split Date	Ex Date	Price	CMP
IB Infotech Enterprises Ltd	IBINFO	519463	26-May-26	26-May-26	Rs 10/- to Rs 1/-	649.4
F Mec International Financial Services Ltd	FMEC	539552	26-May-26	26-May-26	Rs 10/- to Rs 2/-	77.58
Gautam Exim Ltd	GEL	540613	22-May-26	22-May-26	Rs 10/- to Rs 5/-	175.1
Dev Labtech Venture Ltd	DEVLAB	543848	15-May-26	15-May-26	Rs 10/- to Rs 5/-	29.85
Avro India Ltd	AVROIND	543512	05-May-26	05-May-26	Rs 10/- to Rs 1/-	11.35
Anlon Healthcare Ltd	AHCL	544497	24-Apr-26	24-Apr-26	Rs 10/- to Rs 2/-	13.75
String Metaverse Ltd	META	534535	24-Apr-26	24-Apr-26	Rs 10/- to Rs 1/-	8.77
Pashupati Cotspin Ltd	PASHUPATI	544448	17-Apr-26	17-Apr-26	Rs 10/- to Rs 1/-	95.79
R&B Denims Ltd	RNBDENIMS	538119	03-Apr-26	02-Apr-26	Rs 2/- to Rs 1/-	10.95
Avax Apparels and Ornaments Ltd	AVAX	544337	27-Mar-26	27-Mar-26	Rs 10/- to Rs 5/-	49.9
V2 Retail Ltd	V2RETAIL	532867	26-Mar-26	25-Mar-26	Rs 10/- to Rs 1/-	238.35
Manbro Industries Ltd	MANBRO	512595	25-Mar-26	25-Mar-26	Rs 10/- to Rs 1/-	66.8
Hindusthan Urban Infrastructure Ltd	HUIL	539984	13-Mar-26	13-Mar-26	Rs 10/- to Rs 2/-	"1,210.60"
TANFAC Industries Ltd	TANFACIND	506854	09-Mar-26	09-Mar-26	Rs 10/- to Rs 5/-	"2,037.35"
Meera Industries Ltd	MEERA	540519	06-Mar-26	06-Mar-26	Rs 10/- to Rs 5/-	58.9
Silver Touch Technologies Ltd	SILVERTUC	543525	06-Mar-26	06-Mar-26	Rs 10/- to Rs 2/-	146.15
Aqylon Nexus Ltd	AQYLON	530943	05-Mar-26	05-Mar-26	Rs 10/- to Rs 1/-	62.29
Aqylon Nexus Ltd	AQYLON	530943	05-Mar-26	05-Mar-26	Rs 10/- to Rs 1/-	62.29
Varvee Global Ltd	VGL	514274	02-Mar-26	02-Mar-26	Rs 10/- to Rs 5/-	65.2
Varvee Global Ltd	VGL	514274	02-Mar-26	02-Mar-26	Rs 10/- to Rs 5/-	65.2
Angel One Ltd	ANGELONE	543235	26-Feb-26	26-Feb-26	Rs 10/- to Rs 1/-	346.55
Fynx Capital Ltd	FYNX	507962	25-Feb-26	25-Feb-26	Rs 10/- to Rs 1/-	4.58
Titan Biotech Ltd	TITANBIO	524717	20-Feb-26	20-Feb-26	Rs 10/- to Rs 2/-	472.55
Delphi World Money Ltd	DELPHIFX	533452	14-Feb-26	13-Feb-26	Rs 10/- to Rs 2/-	10.44
Omega Interactive Technologies Ltd	OMEGAIN	511644	06-Feb-26	06-Feb-26	Rs 10/- to Rs 1/-	65.85
United Van Der Horst Ltd	UVDRHOR	522091	22-Jan-26	22-Jan-26	Rs 5/- to Rs 1/-	35
Best Agrolife Ltd	BESTAGRO	539660	16-Jan-26	16-Jan-26	Rs 10/- to Rs 1/-	18.15
Ajmera Realty & Infra India Ltd	AJMERA	513349	15-Jan-26	15-Jan-26	Rs 10/- to Rs 2/-	131.55
Kotak Mahindra Bank Ltd	KOTAKBANK	500247	14-Jan-26	14-Jan-26	Rs 5/- to Rs 1/-	392.75
